Ref,Company Name,Website,Categories of Products/Services,Corporate Summary (Derived from company materials),AI/ML in Marketing,DHS Prime Contractor,Border Security Expo Exhibitor/Sponsor(2022-2025),Border Technology Summit 2024-2025,Homeland Security Technology Consortium Member,Additional notes,Parent Company/Alternative Name/DBA,"Related Companies (Subsidiaries, Distributors, Strategic Partners, Passthroughs)",Official DHS Programs,Federal Agency Contracts,USASpending.gov Link (DHS),Federal Procurement Data System Link (DHS),Related/Source Links,Related/Source Links.1,Related/Source Links.2
TECH172,RTX,https://www.cbp.gov/sites/default/files/documents/FS_2015_Guardian_FINAL_0.pdf,"Wide-Ranging Defense, Surveillance, and IT Products/Services","rtx.com: At Raytheon, the foundation of everything we do is rooted in our values and a higher calling – to help our nation and allies defend freedoms and deter aggression. We bring the strength of more than 100 years of experience and renowned engineering expertise to meet the needs of today’s mission and stay ahead of tomorrow’s threat. Our team solves tough, meaningful problems that create a safer, more secure world.",Y,,,Y (as Raytheon),Y (as Raytheon),,Raytheon,,,"DOD, DHS, DOJ, GSA, DOS and others",https://www.usaspending.gov/search/?hash=39aa538a2d38b6c851fc09eb15494344,https://www.fpds.gov/ezsearch/fpdsportal?indexName=awardfull&templateName=1.5.3&s=FPDS.GOV&q=Raytheon+DEPARTMENT_FULL_NAME%3A%22HOMELAND+SECURITY%2C+DEPARTMENT+OF%22&x=0&y=0,https://raytheon.mediaroom.com/index.php?s=43&item=893,https://www.tni.org/en/publication/more-than-a-wall-0,https://washingtontechnology.com/2014/07/raytheon-gets-second-shot-at-border-security-contract/355761/
TECH002,Accenture,https://www.accenture.com/us-en/industries/accenture-federal-services,"Wide-Ranging Defense, Surveillance, and IT Products/Services","Accenture.com: The Accenture Federal Services U.S. Public Safety portfolio helps federal agencies unlock growth through innovations in technology, people and processes. The world is full of unknowns, and we must prepare for and anticipate what’s around the corner. We support work that is critical to the safety and security of our Nation and its people, and protect citizens at home and abroad - where they live and work. We deliver mission-critical operations across the Department of Energy, Department of Homeland Security, Department of State, Department of Justice, NASA and EPA. We enable our clients with the latest advanced technologies to protect and advance:  Human health and the environment; Interests and security of Americans abroad and at home; Infrastructure of our borders, cities and towns, allowing for safe travel; The future by addressing energy, environment and nuclear challenges, while innovating and discovering for the benefit of humanity.",Y,Y,Y,Y,Y,,,,,"DHS, DOD",https://www.usaspending.gov/search/?hash=062d3d04abfade16d1e5196e54850b34,https://www.fpds.gov/ezsearch/fpdsportal?q=Accenture+DEPARTMENT_FULL_NAME%3A%22HOMELAND+SECURITY%2C+DEPARTMENT+OF%22&s=FPDS.GOV&templateName=1.5.3&indexName=awardfull&x=0&y=0,https://newsroom.accenture.com/news/2023/accenture-federal-services-wins-380m-contract-to-modernize-it-operations-for-us-customs-and-border-protection,https://investigate.afsc.org/company/accenture,
TECH013,Anduril,https://www.anduril.com/,"Surveillance Towers, Unmanned Aerial Systems (UAS)","Anduril.com: Anduril is a defense products company. Unlike most defense companies, we don’t wait for our customers to tell us what they need. We identify problems, privately fund our R&D and sell finished products off the shelf. Ideas are turned into deployed capabilities in months, not years, saving the government and taxpayers money along the way.",Y,,Y,Y,Y,"Products include: Sentry, Phantom, Ghost 4 autonomous small unmanned aircraft system (sUAS), Lattice AI Software Platform.",,Copious Imaging,Autonomous Surveillance Towers (AST),"DHS, CBP",https://www.usaspending.gov/search/?hash=ff3901e3adbab01042d15f1cac1bbba2,https://www.fpds.gov/ezsearch/search.do?q=Anduril+CONTRACTING_AGENCY_NAME%3A%22U.S.+CUSTOMS+AND+BORDER+PROTECTION%22&s=FPDS.GOV&templateName=1.5.3&indexName=awardfull,https://www.documentcloud.org/documents/23132456-j-19ctsestatementofobjectives#document/p32,https://investigate.afsc.org/company/anduril,https://www.anduril.com/article/anduril-industries-acquires-copius-imaging/
TECH017,Axis Communications,https://www.axis.com/en-us/solutions/government/perimeter-and-border-security,"Surveillance Cameras, Body-Worn Cameras, Radar, Thermal Imaging, Data Analytics","Axis.com: From perimeter to critical core, intrusion protection and sensing solutions from Axis are equipped to safeguard your entire domain. Our technology provides intelligent monitoring of critical sites, based on surveillance systems with visual and thermal imaging, radar devices, audio equipment, intrusion detection and analytics software. Through an open-source approach, Axis collaborates with the best-in-class partners for perimeter analytics.",Y,,Y,Y,,Products include: Axis M series cameras,Axis Communications AB (S. Korea),,,No data,No data,No data,https://www.edgemiddleeast.com/security/bct-and-axis-communications-enhance-cyber-resilience,,
TECH057,Deloitte,https://www2.deloitte.com/us/en/pages/public-sector/topics/defense-security-justice.html?icid=top_defense-security-justice,"Wide-Ranging Defense, Surveillance, and IT Products/Services","Deloitte.com: We serve all branches of the military, agencies of the Department of Defense, and intelligence community, as well as the Departments of Homeland Security and Justice. From cyber and logistics to finance and trustworthy AI, we are ready to meet you in the mission and drive bold and lasting results.",Y,Y,,Y,Y,,Deloitte Consulting LLP,,,"DHS, DOD, GSA, DOS, DOI",https://www.usaspending.gov/search/?hash=98945f2e51d31d930dc33c8db11ef8f0,https://www.fpds.gov/ezsearch/fpdsportal?q=Deloitte+DEPARTMENT_FULL_NAME%3A%22HOMELAND+SECURITY%2C+DEPARTMENT+OF%22++&s=FPDS.GOV&templateName=1.5.3&indexName=awardfull&x=0&y=0&sortBy=SIGNED_DATE&desc=Y,https://investigate.afsc.org/company/deloitte,,
TECH071,"Elevated Technologies, LLC,",https://elv-tech.com/,"Aerostats, Wide-Ranging Defense, Surveillance, and IT Products/Services","Elv-tech.com: Elevated Technologies, LLC specializes in the integration of, training for, and documentation related to Intelligence, Surveillance, and Reconnaissance (ISR) assets.",Y,,,Y,,"Products include: Support, training, testing, review, integration of sureveillance and IT systems, field support, aviation maintenance. .",,QinetiQ,Tethered Aerostat Radar System (TARS),"DOD, DHS, USCG and others",https://www.usaspending.gov/search/?hash=99f716b5e0d9c61520eb391ff23040a0,https://www.fpds.gov/ezsearch/fpdsportal?q=Elevated+Technologies+DEPARTMENT_FULL_NAME%3A%22HOMELAND+SECURITY%2C+DEPARTMENT+OF%22&s=FPDS.GOV&templateName=1.5.3&indexName=awardfull&x=0&y=0,https://www.qinetiq.com/en/news/us-customs-and-border-protection-has-awarded-tars-to-qinetiq-us,https://elv-tech.com/about-isr-programs/,
TECH086,General Atomics,https://www.ga-asi.com/products-services https://www.ga.com/unmanned-aircraft-systems-and-sensors,Unmanned Aerial Systems (UAS),"GA.com: General Atomics Aeronautical Systems, Inc. (GA-ASI) is an affiliate of privately-held General Atomics and is a leading manufacturer of Remotely Piloted Aircraft (RPA) systems, radars, and electro-optic and related mission systems solutions. Designed and engineered for long-endurance, our unmanned aircraft and sensor systems have raised the standard and redefined intelligence, surveillance, reconnaissance tactics and precision strike capabilities.",Y,Y,,Y,,"Products Include: MQ-9 Reaper, SkyGuardian",,,,"DHS, DOD, Dept. of Energy",https://www.usaspending.gov/search/?hash=c65e12016655219de8363bf2899352db,https://www.fpds.gov/ezsearch/fpdsportal?indexName=awardfull&templateName=1.5.3&s=FPDS.GOV&q=General+Atomics+DEPARTMENT_FULL_NAME%3A%22HOMELAND+SECURITY%2C+DEPARTMENT+OF%22&x=0&y=0,https://militaryembedded.com/radar-ew/sensors/lynx-multi-mode-radar-tested-by-department-of-homeland-security,https://investigate.afsc.org/company/general-atomics,
TECH087,General Dynamics,https://www.gdit.com/industries/homeland-security/,"Surveillance Towers, Biometrics, Data Analytics","GDIT.com: A global technology and professional services company that delivers consulting, technology and mission services to every major agency across the U.S. government, defense and intelligence community.",Y,Y,Y,Y,,Products include: Remote Video Surveillance Systems.,,"CSRA LLC, SRA International, Anteon, General Dynamics Information Technology, Inc. (GDIT)",Remote Video Surveillance System (RVSS),"DHS, CBP, DOD,",https://www.usaspending.gov/search/?hash=7e390fa7fe1213cecd1f175f2e62d160,https://www.fpds.gov/ezsearch/search.do?q=%22General+Dynamics%22+DEPARTMENT_FULL_NAME%3A%22HOMELAND+SECURITY%2C+DEPARTMENT+OF%22+CONTRACTING_AGENCY_NAME%3A%22U.S.+CUSTOMS+AND+BORDER+PROTECTION%22&s=FPDS.GOV&templateName=1.5.3&indexName=awardfull,https://www.gdit.com/about-gdit/press-releases/gdit-to-modernize-surveillance-tower-system-for-customs-and-border/,https://theintercept.com/2024/03/12/dhs-border-towers-ai/,https://gdmissionsystems.com/articles/2015/10/15/news-release-10-14-2015-general-dynamics-upgrades-remote-video-surveillance-system-for-cbp
TECH094,Guidehouse,https://guidehouse.com/industries/defense-and-security,"Wide-Ranging Defense, Surveillance, and IT Products/Services","Guidehouse.com: Our defense and security teams support mission-critical projects for U.S. diplomatic, intelligence, law enforcement, and defense agencies. We leverage proven, sustainable methodologies in mission optimization, technology modernization, and financial management in order to compete, deter, and win in our evolving world.",Y,,,Y,,,,Dovel Technologies LLC,,"DHS, DOD, DOJ, DOS, and others",https://www.usaspending.gov/search/?hash=1ca0cf0cd5f0fa5beace0f936cd45a5d,https://www.fpds.gov/ezsearch/fpdsportal?q=guidehouse+DEPARTMENT_FULL_NAME%3A%22HOMELAND+SECURITY%2C+DEPARTMENT+OF%22&s=FPDS.GOV&templateName=1.5.3&indexName=awardfull&x=0&y=0,https://guidehouse.com/industries/defense-and-security/homeland-security-and-law-enforcement,https://app.g2xchange.com/fedciv/posts/dhs-cbp-awards-incident-driven-video-recording-systems-idvrs-lifecycle-program-management-and-services-task,
TECH103,IBM,https://ibm.com/federal,"Wide-Ranging Defense, Surveillance, and IT Products/Services","IBM.com: IBM and our ecosystem of business partners help drive digital transformation of government by building and orchestrating open, secured hybrid cloud environments, improving data integration and developing responsible and trustworthy AI.",Y,Y,Y,Y,Y,,,"Promontory Financial Group, Red Hat Software, Turbonomic, PricewaterhouseCoopers Consulting",,"DHS, DOJ, HHS, DOD, DOI, and others",https://www.usaspending.gov/search/?hash=9bf9af4f06fba03ad50e7bcbd087e313,https://www.fpds.gov/ezsearch/fpdsportal?indexName=awardfull&templateName=1.5.3&s=FPDS.GOV&q=IBM+DEPARTMENT_FULL_NAME%3A%22HOMELAND+SECURITY%2C+DEPARTMENT+OF%22&x=0&y=0,https://www.linkedin.com/posts/troy-edgar-3ba31a_cbp-ice-coastguard-activity-7062616863846895617-OBgO?utm_source=share&utm_medium=member_desktop,https://www.whoprofits.org/publications/report/158,https://www.sifma.org/wp-content/uploads/2018/09/Promontory_Marketing-PDF_SIFMA-Annual-Meeting-2018.pdf
